"","group","GOM","GB","MAB","definition"
"1","Fixed Gear","X","X","X","NEGEAR2 %in% c(1, 2, 8, 10, 50, 52, 14, 26)"
"2","HMS Fleet","X","X","X","NEGEAR2 %in% c(3, 4, 6, 11)"
"3","LG Mesh","X","X","X","NEGEAR2 %in% c(5, 16, 32, 35, 36)"
"4","Trap","X","X","X","NEGEAR2 %in% c(18, 15, 19, 20, 21, 23, 30, 33, 53)"
"5","Other Dredge","X","X","X","NEGEAR2 %in% c(22, 25, 38, 41)"
"6","Other","X","-","X","Other NEGEAR2 codes"
"7","Pelagic","X","X","X","NEGEAR2 %in% c(12, 17, 37)"
"8","SM Mesh","X","X","X","NEGEAR2 == 5 & MESHCAT == 'SM'"
"9","Clam Dredge","X","X","X","NEGEAR2 == 40"
"10","Scallop Dredge","-","X","X","NEGEAR2 == 13"
"11","Recreational","-","-","X","MRIP data"
"12","PurseSeine","-","-","X","Menhaden catch estimate"
